gene,Description
NRAP,nebulin related anchoring protein
CFL2,cofilin 2
CDH5,cadherin 5
DNAJC22,DnaJ heat shock protein family (Hsp40) member C22
MNX1,motor neuron and pancreas homeobox 1
CLEC3B,C-type lectin domain family 3 member B
CLIC5,chloride intracellular channel 5
HABP2,hyaluronan binding protein 2
RXFP1,relaxin family peptide receptor 1
MYLK-AS2,MYLK antisense RNA 2
CA9,carbonic anhydrase 9
PECAM1,platelet and endothelial cell adhesion molecule 1
MAP7D2,MAP7 domain containing 2
AMOTL1,angiomotin like 1
BMS1P23,BMS1 pseudogene 23
TOX3,TOX high mobility group box family member 3
LOC101928582,
LOC105377663,uncharacterized LOC105377663
QKI,"QKI, KH domain containing RNA binding"
SEMA3G,semaphorin 3G
FOXF1,forkhead box F1
ST6GALNAC5,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
TRIM2,tripartite motif containing 2
EXOC3L1,exocyst complex component 3 like 1
ABCA4,ATP binding cassette subfamily A member 4
GLB1L3,galactosidase beta 1 like 3
FERMT2,FERM domain containing kindlin 2
SASH1,SAM and SH3 domain containing 1
CHRM1,cholinergic receptor muscarinic 1
LOC107986343,uncharacterized LOC107986343
HEG1,heart development protein with EGF like domains 1
EPCAM,epithelial cell adhesion molecule
GRK5,G protein-coupled receptor kinase 5
DNAJC12,DnaJ heat shock protein family (Hsp40) member C12
LINC01082,long intergenic non-protein coding RNA 1082
GATA2,GATA binding protein 2
SPTBN1,"spectrin beta, non-erythrocytic 1"
CEACAM7,CEA cell adhesion molecule 7
FENDRR,FOXF1 adjacent non-coding developmental regulatory RNA
EFNA4,ephrin A4
RASAL1,RAS protein activator like 1
FZD4,frizzled class receptor 4
CST1,cystatin SN
GYPE,glycophorin E (MNS blood group)
CCN5,cellular communication network factor 5
FAM124A,family with sequence similarity 124 member A
SERTM1,serine rich and transmembrane domain containing 1
INAVA,innate immunity activator
SGPP2,sphingosine-1-phosphate phosphatase 2
KANK3,KN motif and ankyrin repeat domains 3
CBLC,Cbl proto-oncogene C
HS6ST2,heparan sulfate 6-O-sulfotransferase 2
CAVIN2,caveolae associated protein 2
RASIP1,Ras interacting protein 1
PDLIM2,PDZ and LIM domain 2
NELL1,neural EGFL like 1
TEK,TEK receptor tyrosine kinase
LOC102725238,uncharacterized LOC102725238
TTLL7,tubulin tyrosine ligase like 7
C2CD4A,C2 calcium dependent domain containing 4A
IL1RL2,interleukin 1 receptor like 2
GIMAP1,"GTPase, IMAP family member 1"
MSL3P1,MSL complex subunit 3 pseudogene 1
LOC105374912,replaced by ID 105374911
HID1-AS1,HID1 antisense RNA 1
LOC105371058,
PERM1,"PPARGC1 and ESRR induced regulator, muscle 1"
SPRYD7,SPRY domain containing 7
LARGE2,LARGE xylosyl- and glucuronyltransferase 2
GPM6A,glycoprotein M6A
GNG11,G protein subunit gamma 11
STARD13,StAR related lipid transfer domain containing 13
NRG3,neuregulin 3
AFAP1L1,actin filament associated protein 1 like 1
PCDH12,protocadherin 12
LOC112268136,uncharacterized LOC112268136
MYCT1,MYC target 1
SMPDL3B,sphingomyelin phosphodiesterase acid like 3B
LOC101928450,uncharacterized LOC101928450
EPN3,epsin 3
MYL9,myosin light chain 9
GOLM1,golgi membrane protein 1
CNOT11,CCR4-NOT transcription complex subunit 11
MSI2,musashi RNA binding protein 2
COX4I2,cytochrome c oxidase subunit 4I2
BVES,blood vessel epicardial substance
EMP2,epithelial membrane protein 2
TRPC3,transient receptor potential cation channel subfamily C member 3
PTPRH,protein tyrosine phosphatase receptor type H
NOTCH4,notch receptor 4
SH2D1B,SH2 domain containing 1B
LMO2,LIM domain only 2
CALCRL,calcitonin receptor like receptor
CAV2,caveolin 2
C10orf67,chromosome 10 open reading frame 67
CLEC14A,C-type lectin domain containing 14A
TIMP3,TIMP metallopeptidase inhibitor 3
LINC00511,long intergenic non-protein coding RNA 511
LIN7A,"lin-7 homolog A, crumbs cell polarity complex component"
MICALL2,MICAL like 2
GFOD1,glucose-fructose oxidoreductase domain containing 1
SLC50A1,solute carrier family 50 member 1
JAM2,junctional adhesion molecule 2
TMEM63C,transmembrane protein 63C
LDB2,LIM domain binding 2
LOC112268438,uncharacterized LOC112268438
ERG,ETS transcription factor ERG
SYNM,synemin
RCC1,regulator of chromosome condensation 1
TUBB3,tubulin beta 3 class III
KDELR3,KDEL endoplasmic reticulum protein retention receptor 3
TMEM184A,transmembrane protein 184A
RGS9,regulator of G protein signaling 9
LOC105376217,uncharacterized LOC105376217
CEACAM1,CEA cell adhesion molecule 1
LOC105374911,uncharacterized LOC105374911
ADCY4,adenylate cyclase 4
SBK1,SH3 domain binding kinase 1
ARHGEF10,Rho guanine nucleotide exchange factor 10
FGF11,fibroblast growth factor 11
LOC105378662,uncharacterized LOC105378662
FERMT1,FERM domain containing kindlin 1
RGCC,regulator of cell cycle
SMAD7,SMAD family member 7
ZNF833P,"zinc finger protein 833, pseudogene"
PTPN21,protein tyrosine phosphatase non-receptor type 21
KIF26B,kinesin family member 26B
LINC00673,long intergenic non-protein coding RNA 673
EML1,EMAP like 1
AOC1,amine oxidase copper containing 1
TBX3,T-box transcription factor 3
KL,klotho
FUT3,fucosyltransferase 3 (Lewis blood group)
MAP3K9-DT,MAP3K9 divergent transcript
LOC105378130,uncharacterized LOC105378130
RS1,retinoschisin 1
MYO3B,myosin IIIB
TMEM47,transmembrane protein 47
S1PR1,sphingosine-1-phosphate receptor 1
FRMD3,FERM domain containing 3
NDST1,N-deacetylase and N-sulfotransferase 1
LEMD1,LEM domain containing 1
BNIP2,BCL2 interacting protein 2
TRAPPC3L,trafficking protein particle complex subunit 3L
MANEAL,mannosidase endo-alpha like
CD36,CD36 molecule
GIMAP6,"GTPase, IMAP family member 6"
ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
LOC105371887,uncharacterized LOC105371887
WWC2,WW and C2 domain containing 2
LOC105374910,uncharacterized LOC105374910
LOC112268439,uncharacterized LOC112268439
EPHA10,EPH receptor A10
CDH1,cadherin 1
PTPRQ,protein tyrosine phosphatase receptor type Q
LOC102724193,uncharacterized LOC102724193
LOC105371720,uncharacterized LOC105371720
RNF144B,ring finger protein 144B
GIMAP8,"GTPase, IMAP family member 8"
ATP10B,ATPase phospholipid transporting 10B (putative)
KCNN4,potassium calcium-activated channel subfamily N member 4
LINC00702,long intergenic non-protein coding RNA 702
HMGB3,high mobility group box 3
SNHG31,small nucleolar RNA host gene 31
FABP4,fatty acid binding protein 4
SLC6A4,solute carrier family 6 member 4
AGAP11,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11"
SALL4,spalt like transcription factor 4
LHFPL6,LHFPL tetraspan subfamily member 6
NES,nestin
TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
NQO1,NAD(P)H quinone dehydrogenase 1
GIMAP1-GIMAP5,GIMAP1-GIMAP5 readthrough
PEAR1,platelet endothelial aggregation receptor 1
COL22A1,collagen type XXII alpha 1 chain
VSIR,V-set immunoregulatory receptor
B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
MEX3A,mex-3 RNA binding family member A
HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2
PTPRB,protein tyrosine phosphatase receptor type B
ENTREP2,endosomal transmembrane epsin interactor 2
FCN3,ficolin 3
PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
GIMAP7,"GTPase, IMAP family member 7"
TM4SF4,transmembrane 4 L six family member 4
RHBDL1,rhomboid like 1
MOCS1,molybdenum cofactor synthesis 1
GPR146,G protein-coupled receptor 146
LIMCH1,LIM and calponin homology domains 1
FRMD5,FERM domain containing 5
TGM1,transglutaminase 1
LOC105371244,uncharacterized LOC105371244
ADGRL2,adhesion G protein-coupled receptor L2
LOC101927389,uncharacterized LOC101927389
GIMAP5,"GTPase, IMAP family member 5"
MYEOV,myeloma overexpressed
LOC105376963,uncharacterized LOC105376963
THSD1,thrombospondin type 1 domain containing 1
TMEM182,transmembrane protein 182
SMAD6,SMAD family member 6
SEPTIN10,septin 10
SLC39A11,solute carrier family 39 member 11
ANGPTL7,angiopoietin like 7
MROH6,maestro heat like repeat family member 6
FOXA3,forkhead box A3
TRPM8,transient receptor potential cation channel subfamily M member 8
ARHGEF16,Rho guanine nucleotide exchange factor 16
CTNNAL1,catenin alpha like 1
KATNAL1,katanin catalytic subunit A1 like 1
TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1
ERICH4,glutamate rich 4
ZYG11A,"zyg-11 family member A, cell cycle regulator"
LYVE1,lymphatic vessel endothelial hyaluronan receptor 1
TACC1,transforming acidic coiled-coil containing protein 1
NRN1,neuritin 1
CLEC1A,C-type lectin domain family 1 member A
PGLYRP4,peptidoglycan recognition protein 4
PHLDA2,pleckstrin homology like domain family A member 2
BZW2,basic leucine zipper and W2 domains 2
ALDH18A1,aldehyde dehydrogenase 18 family member A1
FUT5,fucosyltransferase 5
CLDN5,claudin 5
GPER1,G protein-coupled estrogen receptor 1
SEZ6L2,seizure related 6 homolog like 2
HSPC324,uncharacterized LOC101928612
CYYR1,cysteine and tyrosine rich 1
NMU,neuromedin U
SEMA6D,semaphorin 6D
CLDN4,claudin 4
PC,pyruvate carboxylase
JCAD,junctional cadherin 5 associated
FHL5,four and a half LIM domains 5
PALMD,palmdelphin
BTNL9,butyrophilin like 9
OR7E47P,olfactory receptor family 7 subfamily E member 47 pseudogene
NCR1,natural cytotoxicity triggering receptor 1
SOSTDC1,sclerostin domain containing 1
COL17A1,collagen type XVII alpha 1 chain
CDH19,cadherin 19
ENC1,ectodermal-neural cortex 1
JPT2,Jupiter microtubule associated homolog 2
LOC107985795,
BICD2,BICD cargo adaptor 2
LOC100288175,uncharacterized LOC100288175
PRKCE,protein kinase C epsilon
NXPH3,neurexophilin 3
DNAJB4,DnaJ heat shock protein family (Hsp40) member B4
GDF15,growth differentiation factor 15
DOCK4,dedicator of cytokinesis 4
GYG2,glycogenin 2
PLPP2,phospholipid phosphatase 2
FGFBP2,fibroblast growth factor binding protein 2
LOC105374898,uncharacterized LOC105374898
PMM2,phosphomannomutase 2
PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma
TMEM204,transmembrane protein 204
RTN4RL2,reticulon 4 receptor like 2
TMEM177,transmembrane protein 177
PDGFB,platelet derived growth factor subunit B
EIF2AK1,eukaryotic translation initiation factor 2 alpha kinase 1
PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
PDXDC1,pyridoxal dependent decarboxylase domain containing 1
CDADC1,cytidine and dCMP deaminase domain containing 1
ADPRH,ADP-ribosylarginine hydrolase
PCCA-DT,PCCA divergent transcript
BUB1B-PAK6,BUB1B-PAK6 readthrough
FIBIN,fin bud initiation factor homolog
PRSS22,serine protease 22
KIAA1522,KIAA1522
LOC100129434,uncharacterized LOC100129434
KCNJ8,potassium inwardly rectifying channel subfamily J member 8
DHRS13,dehydrogenase/reductase 13
LOC102724104,uncharacterized LOC102724104
ITM2A,integral membrane protein 2A
EGF,epidermal growth factor
ANKRD20A12P,"ankyrin repeat domain 20 family member A12, pseudogene"
MYO7B,myosin VIIB
ASPHD1,aspartate beta-hydroxylase domain containing 1
MDK,midkine
TIMP1,TIMP metallopeptidase inhibitor 1
WNT3A,Wnt family member 3A
HYAL2,hyaluronidase 2
PRKG2,protein kinase cGMP-dependent 2
STX2,syntaxin 2
TPBG,trophoblast glycoprotein
GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
PEAK1,pseudopodium enriched atypical kinase 1
CTHRC1,collagen triple helix repeat containing 1
HSPB2,heat shock protein family B (small) member 2
HIGD1B,HIG1 hypoxia inducible domain family member 1B
SRPK1,SRSF protein kinase 1
LOC101926956,uncharacterized LOC101926956
LOC107984429,uncharacterized LOC107984429
HMBOX1,homeobox containing 1
PAK6,p21 (RAC1) activated kinase 6
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
PLEK2,pleckstrin 2
RUSC2,RUN and SH3 domain containing 2
LOC100286986,atrophin-domain containing
WTAPP1,Wilms tumor 1 associated protein pseudogene 1
SLC14A1,solute carrier family 14 member 1 (Kidd blood group)
GJB2,gap junction protein beta 2
LINC00472,long intergenic non-protein coding RNA 472
KCNK5,potassium two pore domain channel subfamily K member 5
ATP6V1C2,ATPase H+ transporting V1 subunit C2
BAAT,bile acid-CoA:amino acid N-acyltransferase
ADIRF,adipogenesis regulatory factor
FGD5,"FYVE, RhoGEF and PH domain containing 5"
RGS17,regulator of G protein signaling 17
GAB1,GRB2 associated binding protein 1
MROCKI,MARCKS cis regulating lncRNA promoter of cytokines and inflammation
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
AHNAK,AHNAK nucleoprotein
LINC02817,long intergenic non-protein coding RNA 2817
SMYD5,SMYD family member 5
PVT1,Pvt1 oncogene
OVOL1,ovo like transcriptional repressor 1
HLX,H2.0 like homeobox
MSRB3,methionine sulfoxide reductase B3
INPP5K,inositol polyphosphate-5-phosphatase K
KANK2,KN motif and ankyrin repeat domains 2
HNF4G,hepatocyte nuclear factor 4 gamma
MIR3667HG,MIR3667 host gene
TNS1,tensin 1
DCST1-AS1,DCST1 antisense RNA 1
LOC102723313,uncharacterized LOC102723313
CASKIN2,CASK interacting protein 2
SCAI,suppressor of cancer cell invasion
ICA1-AS1,ICA1 antisense RNA 1
MAST1,microtubule associated serine/threonine kinase 1
STARD8,StAR related lipid transfer domain containing 8
DRAIC,"downregulated RNA in cancer, inhibitor of cell invasion and migration"
CLDN2,claudin 2
SYNE3,spectrin repeat containing nuclear envelope family member 3
LOC101927834,uncharacterized LOC101927834
XAGE1B,X antigen family member 1B
TEDC2,tubulin epsilon and delta complex 2
TUBB1,tubulin beta 1 class VI
GLIPR2,GLI pathogenesis related 2
PCAT6,prostate cancer associated transcript 6
PABPC1L,poly(A) binding protein cytoplasmic 1 like
LOC105369358,uncharacterized LOC105369358
MSTO1,misato mitochondrial distribution and morphology regulator 1
RDX,radixin
SHROOM4,shroom family member 4
LINC01447,long intergenic non-protein coding RNA 1447
TMEM59L,transmembrane protein 59 like
DNAJA3,DnaJ heat shock protein family (Hsp40) member A3
SMAD9,SMAD family member 9
CD93,CD93 molecule
RBBP8NL,RBBP8 N-terminal like
ST6GALNAC1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
XPR1,xenotropic and polytropic retrovirus receptor 1
MARVELD3,MARVEL domain containing 3
COLEC10,collectin subfamily member 10
LBX2,ladybird homeobox 2
SUGCT,succinyl-CoA:glutarate-CoA transferase
MMP1,matrix metallopeptidase 1
OTC,ornithine transcarbamylase
XAGE1A,X antigen family member 1A
NMUR1,neuromedin U receptor 1
IVL,involucrin
GFRA3,GDNF family receptor alpha 3
FAM83H-AS1,replaced by ID 642574
LOC107986838,uncharacterized LOC107986838
MUC21,"mucin 21, cell surface associated"
FUT6,fucosyltransferase 6
GALNT7,polypeptide N-acetylgalactosaminyltransferase 7
LINC02880,long intergenic non-protein coding RNA 2880
CLEC4M,C-type lectin domain family 4 member M
MUC20,"mucin 20, cell surface associated"
SLC44A3-AS1,SLC44A3 antisense RNA 1
PABIR1,PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1
CACNA1S,calcium voltage-gated channel subunit alpha1 S
ASPA,aspartoacylase
LOC105371824,uncharacterized LOC105371824
LOC105369828,uncharacterized LOC105369828
GCOM1,"GCOM1, MYZAP-POLR2M combined locus"
GFPT1,glutamine--fructose-6-phosphate transaminase 1
ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8
LINC02036,long intergenic non-protein coding RNA 2036
ARAP3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
COX7A1,cytochrome c oxidase subunit 7A1
SMIM41,small integral membrane protein 41
TRAF4,TNF receptor associated factor 4
SPTAN1,"spectrin alpha, non-erythrocytic 1"
PRF1,perforin 1
CD300LG,CD300 molecule like family member g
FXYD6-FXYD2,FXYD6-FXYD2 readthrough
ARHGAP6,Rho GTPase activating protein 6
CAPN8,calpain 8
ARHGEF19,Rho guanine nucleotide exchange factor 19
SLC22A18,solute carrier family 22 member 18
TMEM62,transmembrane protein 62
LOC112268445,uncharacterized LOC112268445
RAPGEF4,Rap guanine nucleotide exchange factor 4
LOC105371822,uncharacterized LOC105371822
PLAC9,placenta associated 9
MPIG6B,megakaryocyte and platelet inhibitory receptor G6b
SH3BP5,SH3 domain binding protein 5
IGSF10,immunoglobulin superfamily member 10
IL7R,interleukin 7 receptor
SULT1C2,sulfotransferase family 1C member 2
LOC102724682,uncharacterized LOC102724682
SYN2,synapsin II
PTPRM,protein tyrosine phosphatase receptor type M
DENND3,DENN domain containing 3
B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
FXYD6,FXYD domain containing ion transport regulator 6
STX1A,syntaxin 1A
P2RY1,purinergic receptor P2Y1
STARD9,StAR related lipid transfer domain containing 9
DES,desmin
MAP3K3,mitogen-activated protein kinase kinase kinase 3
CDH13,cadherin 13
PRICKLE2,prickle planar cell polarity protein 2
LOC105374094,uncharacterized LOC105374094
OTUD1,OTU deubiquitinase 1
CTIF,cap binding complex dependent translation initiation factor
S1PR1-DT,S1PR1 divergent transcript
EEF2KMT,eukaryotic elongation factor 2 lysine methyltransferase
DDR1,discoidin domain receptor tyrosine kinase 1
BDNF,brain derived neurotrophic factor
ST14,ST14 transmembrane serine protease matriptase
AGTPBP1,ATP/GTP binding carboxypeptidase 1
SH3BP5-AS1,SH3BP5 antisense RNA 1
PDK4,pyruvate dehydrogenase kinase 4
DEPTOR,DEP domain containing MTOR interacting protein
ANO6,anoctamin 6
LAD1,ladinin 1
PLEKHA7,pleckstrin homology domain containing A7
LACAT1,lung adenocarcinoma-associated transcript 1
LOC107986642,uncharacterized LOC107986642
SLC35A2,solute carrier family 35 member A2
LOC107984428,uncharacterized LOC107984428
NHS,NHS actin remodeling regulator
SLC22A18AS,SLC22A18 antisense RNA
TFAP2A,transcription factor AP-2 alpha
CDH3,cadherin 3
TMEM74B,transmembrane protein 74B
TBXA2R,thromboxane A2 receptor
WWC2-AS2,WWC2 antisense RNA 2
KRT16,keratin 16
CCBE1,collagen and calcium binding EGF domains 1
LOC102723490,uncharacterized LOC102723490
MESP2,mesoderm posterior bHLH transcription factor 2
LINC01996,long intergenic non-protein coding RNA 1996
SCG5,secretogranin V
WNT3,Wnt family member 3
APBB1,amyloid beta precursor protein binding family B member 1
KRT80,keratin 80
LINC01271,long intergenic non-protein coding RNA 1271
PKIG,cAMP-dependent protein kinase inhibitor gamma
LGI4,leucine rich repeat LGI family member 4
LOC105372105,uncharacterized LOC105372105
GORASP2,golgi reassembly stacking protein 2
LOC105369315,uncharacterized LOC105369315
TBX2,T-box transcription factor 2
SAPCD2,suppressor APC domain containing 2
ANO2,anoctamin 2
ADGRL4,adhesion G protein-coupled receptor L4
VIP,vasoactive intestinal peptide
ANGPTL1,angiopoietin like 1
LINC01270,long intergenic non-protein coding RNA 1270
FREM3,FRAS1 related extracellular matrix 3
SLCO2A1,solute carrier organic anion transporter family member 2A1
CRBN,cereblon
S100A3,S100 calcium binding protein A3
LOC107986022,
LGSN,"lengsin, lens protein with glutamine synthetase domain"
FHL1,four and a half LIM domains 1
PDIA4,protein disulfide isomerase family A member 4
UGDH,UDP-glucose 6-dehydrogenase
TARID,TCF21 antisense RNA inducing promoter demethylation
ERVFRD-1,"endogenous retrovirus group FRD member 1, envelope"
PPP1R14B,protein phosphatase 1 regulatory inhibitor subunit 14B
CD24,CD24 molecule
KCNT2,potassium sodium-activated channel subfamily T member 2
PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3
HLX-AS1,HLX antisense RNA 1
SEC22C,"SEC22 homolog C, vesicle trafficking protein"
CD300H,CD300H molecule (gene/pseudogene)
ACP6,"acid phosphatase 6, lysophosphatidic"
SLC2A1,solute carrier family 2 member 1
RHOJ,ras homolog family member J
WNT9A,Wnt family member 9A
TOM1L2,target of myb1 like 2 membrane trafficking protein
LRRTM4,leucine rich repeat transmembrane neuronal 4
GFI1B,growth factor independent 1B transcriptional repressor
ADGRF1,adhesion G protein-coupled receptor F1
BARX2,BARX homeobox 2
LOC105371318,uncharacterized LOC105371318
MIR3189,microRNA 3189
F2RL1,F2R like trypsin receptor 1
CANT1,calcium activated nucleotidase 1
SMIM22,small integral membrane protein 22
SOX4,SRY-box transcription factor 4
CRLF1,cytokine receptor like factor 1
PROC,"protein C, inactivator of coagulation factors Va and VIIIa"
CALCOCO1,calcium binding and coiled-coil domain 1
HLA-E,"major histocompatibility complex, class I, E"
SAMD10,sterile alpha motif domain containing 10
ACAD8,acyl-CoA dehydrogenase family member 8
LRIG3-DT,LRIG3 divergent transcript
ADGRG1,adhesion G protein-coupled receptor G1
PCDH10,protocadherin 10
INMT-MINDY4,INMT-MINDY4 readthrough (NMD candidate)
ENG,endoglin
CASP4LP,"caspase 4 like, pseudogene"
BCL2L2,BCL2 like 2
LOC107987251,
ZNF365,zinc finger protein 365
SNRK,SNF related kinase
CASP12,caspase 12 (gene/pseudogene)
WFS1,wolframin ER transmembrane glycoprotein
LOC101928343,uncharacterized LOC101928343
ITPKA,inositol-trisphosphate 3-kinase A
RECK,reversion inducing cysteine rich protein with kazal motifs
GLB1L2,galactosidase beta 1 like 2
GREM1,"gremlin 1, DAN family BMP antagonist"
IQGAP3,IQ motif containing GTPase activating protein 3
LOC107985253,uncharacterized LOC107985253
GIMAP4,"GTPase, IMAP family member 4"
LINC02757,long intergenic non-protein coding RNA 2757
PRR36,proline rich 36
DTX2,deltex E3 ubiquitin ligase 2
RAB34,"RAB34, member RAS oncogene family"
INKA2,inka box actin regulator 2
LOC107985077,uncharacterized LOC107985077
LOC102724072,uncharacterized LOC102724072
FAM162B,family with sequence similarity 162 member B
SRD5A3,steroid 5 alpha-reductase 3
FAM136A,family with sequence similarity 136 member A
CP,ceruloplasmin
SLC35B2,solute carrier family 35 member B2
SERINC1,serine incorporator 1
CEACAM6,CEA cell adhesion molecule 6
TFB2M,"transcription factor B2, mitochondrial"
LOC105376074,
LOC107984406,uncharacterized LOC107984406
LINC00968,long intergenic non-protein coding RNA 968
FA2H,fatty acid 2-hydroxylase
SYT16,synaptotagmin 16
TONSL,"tonsoku like, DNA repair protein"
GBP4,guanylate binding protein 4
ETNK2,ethanolamine kinase 2
KLRF1,killer cell lectin like receptor F1
LINC02016,long intergenic non-protein coding RNA 2016
SGCG,sarcoglycan gamma
KCNK3,potassium two pore domain channel subfamily K member 3
OTULINL,OTU deubiquitinase with linear linkage specificity like
HAVCR1,hepatitis A virus cellular receptor 1
LOC112268252,uncharacterized LOC112268252
THBD,thrombomodulin
LOC101929398,uncharacterized LOC101929398
SEPTIN4-AS1,SEPTIN4 antisense RNA 1
DOK5,docking protein 5
FLT4,fms related receptor tyrosine kinase 4
LINC01569,long intergenic non-protein coding RNA 1569
ADRA1D,adrenoceptor alpha 1D
FLVCR1,FLVCR heme transporter 1
KIF1A,kinesin family member 1A
PCP4,Purkinje cell protein 4
NPM3,nucleophosmin/nucleoplasmin 3
HMGA2,high mobility group AT-hook 2
MPZL1,myelin protein zero like 1
ENTREP1,endosomal transmembrane epsin interactor 1
ATP1B1,ATPase Na+/K+ transporting subunit beta 1
TBL2,transducin beta like 2
RAB38,"RAB38, member RAS oncogene family"
APOL3,apolipoprotein L3
MESP1,mesoderm posterior bHLH transcription factor 1
LINC02997,long intergenic non-protein coding RNA 2997
MYO19,myosin XIX
KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
